label,mode,cyc,I,enable,op_slot_1_A,AN_slot_1_A,B_slot_1_A,Y_slot_1_A
t05_slot_1_A_k4,81,55,0,1,0,1,1,0
t05_slot_1_A_k4,81,56,0,1,0,1,1,0
t05_slot_1_A_k4,81,57,0,1,0,1,1,0
t05_slot_1_A_k4,81,58,0,1,0,1,1,0
t05_slot_1_A_k4,81,59,0,1,0,1,1,0
t05_slot_1_A_k4,81,60,0,1,0,1,1,0
t05_slot_1_A_k4,81,61,0,1,0,1,1,0
t05_slot_1_A_k4,81,62,0,1,0,1,1,0
t05_slot_1_A_k4,81,63,0,1,0,1,1,0
t05_slot_1_A_k4,81,64,0,1,0,1,1,0
t05_slot_1_A_k4,81,65,0,1,0,1,1,0
t05_slot_1_A_k4,81,66,0,1,0,1,1,0
t05_slot_1_A_k4,81,67,0,1,0,1,1,0
t05_slot_1_A_k4,81,68,0,1,0,1,1,0
t05_slot_1_A_k4,81,69,0,1,0,1,1,0
t05_slot_1_A_k4,81,70,0,1,0,1,1,0
t05_slot_1_A_k4,81,71,0,1,0,1,1,0
t05_slot_1_A_k4,81,72,0,1,0,1,1,0
t05_slot_1_A_k4,81,73,0,1,0,1,1,0
t05_slot_1_A_k4,81,74,0,1,0,1,1,0
t05_slot_1_A_k4,81,75,0,1,0,1,1,0
t05_slot_1_A_k4,81,76,0,1,0,1,1,0
t05_slot_1_A_k4,81,77,0,1,0,1,1,0
t05_slot_1_A_k4,81,78,0,1,0,1,1,0
t05_slot_1_A_k4,81,79,0,1,0,1,1,0
t05_slot_1_A_k4,81,80,0,1,0,1,1,0
t05_slot_1_A_k4,81,81,0,1,0,1,1,0
t05_slot_1_A_k4,81,82,0,1,0,1,1,0
t05_slot_1_A_k4,81,83,0,1,0,1,1,0
t05_slot_1_A_k4,81,84,0,1,0,1,1,0
t05_slot_1_A_k4,81,85,0,1,0,1,1,0
t05_slot_1_A_k4,81,86,0,1,0,1,1,0
t05_slot_1_A_k4,81,87,0,1,0,1,1,0
t05_slot_1_A_k4,81,88,0,1,0,1,1,0
t05_slot_1_A_k4,81,89,0,1,0,1,1,0
t05_slot_1_A_k4,81,90,0,1,0,1,1,0
t05_slot_1_A_k4,81,91,0,1,0,1,1,0
t05_slot_1_A_k4,81,92,0,1,0,1,1,0
t05_slot_1_A_k4,81,93,0,1,0,1,1,0
