mode,cyc,S,A0,A1,X,a31o_X,sticky_Q
I1_@4,53,0,1,0,1,1,1
I1_@4,54,0,1,0,1,1,1
I1_@4,55,0,1,0,1,1,1
I1_@4,56,0,1,0,1,1,1
I1_@4,57,0,1,0,1,1,1
I1_@4,58,0,1,0,1,1,1
I1_@4,59,0,1,0,1,1,1
I1_@4,60,0,1,0,1,1,1
I1_@4,61,0,1,0,1,1,1
I1_@4,62,0,1,0,1,1,1
I1_@4,63,0,1,0,1,1,1
I1_@4,64,0,1,0,1,1,1
I1_@4,65,0,1,0,1,1,1
I1_@4,66,0,1,0,1,1,1
I1_@4,67,0,1,0,1,1,1
I1_@4,68,0,1,0,1,1,1
I1_@4,69,0,1,0,1,1,1
I1_@4,70,0,1,0,1,1,1
I1_@4,71,0,1,0,1,1,1
I1_@4,72,0,1,0,1,1,1
I1_@4,73,0,1,0,1,1,1
I1_@4,74,0,1,0,1,1,1
I1_@4,75,0,1,0,1,1,1
I1_@4,76,0,1,0,1,1,1
I1_@4,77,0,1,0,1,1,1
I1_@4,78,0,1,0,1,1,1
I1_@4,79,0,1,0,1,1,1
I1_@4,80,0,1,0,1,1,1
I1_@4,81,0,1,0,1,1,1
I1_@4,82,0,1,0,1,1,1
I1_@4,83,0,1,0,1,1,1
I1_@4,84,0,1,0,1,1,1
I1_@4,85,0,1,0,1,1,1
I1_@4,86,0,1,0,1,1,1
I1_@4,87,0,1,0,1,1,1
I1_@4,88,0,1,0,1,1,1
I1_@4,89,0,1,0,1,1,1
I1_@4,90,0,1,0,1,1,1
I1_@4,91,0,1,0,1,1,1
I1_@4,92,0,1,0,1,1,1
I1_@4,93,0,1,0,1,1,1
I1_@4,94,0,1,0,1,1,1
I1_@4,95,0,1,0,1,1,1
I1_@4,96,0,1,0,1,1,1
I1_@4,97,0,1,0,1,1,1
I1_@4,98,0,1,0,1,1,1
I1_@4,99,0,1,0,1,1,1
I1_@4,100,0,1,0,1,1,1
I1_@4,101,0,1,0,1,1,1
I1_@4,102,0,1,0,1,1,1
I1_@4,103,0,1,0,1,1,1
I1_@4,104,0,1,0,1,1,1
I1_@4,105,0,1,0,1,1,1
I1_@4,106,0,1,0,1,1,1
I1_@4,107,0,1,0,1,1,1
I1_@4,108,0,1,0,1,1,1
I1_@4,109,0,1,0,1,1,1
I1_@4,110,0,1,0,1,1,1
I1_@4,111,0,1,0,1,1,1
I1_@4,112,0,1,0,1,1,1
I1_@4,113,0,1,0,1,1,1
I1_@4,114,0,1,0,1,1,1
