instance,cell_type,x_um,y_um
VIA_L1M1_PR_MR_296,VIA_L1M1_PR_MR,152.03,31.45
VIA_L1M1_PR_MR_297,VIA_L1M1_PR_MR,153.41,31.45
VIA_L1M1_PR_MR_298,VIA_L1M1_PR_MR,154.33,31.45
VIA_L1M1_PR_MR_299,VIA_L1M1_PR_MR,156.17000000000002,31.45
VIA_L1M1_PR_MR_300,VIA_L1M1_PR_MR,157.09,31.45
VIA_L1M1_PR_MR_301,VIA_L1M1_PR_MR,159.39000000000001,31.45
VIA_L1M1_PR_MR_302,VIA_L1M1_PR_MR,161.23,31.45
VIA_L1M1_PR_MR_303,VIA_L1M1_PR_MR,162.605,31.45
VIA_L1M1_PR_MR_304,VIA_L1M1_PR_MR,163.07,31.45
VIA_L1M1_PR_MR_305,VIA_L1M1_PR_MR,163.53,31.45
VIA_L1M1_PR_MR_306,VIA_L1M1_PR_MR,164.45000000000002,31.45
VIA_L1M1_PR_MR_307,VIA_L1M1_PR_MR,171.81,31.45
VIA_L1M1_PR_MR_308,VIA_L1M1_PR_MR,177.79,31.45
VIA_L1M1_PR_MR_309,VIA_L1M1_PR_MR,178.71,31.45
VIA_L1M1_PR_MR_310,VIA_L1M1_PR_MR,183.31,31.45
VIA_L1M1_PR_MR_311,VIA_L1M1_PR_MR,183.77,31.45
VIA_L1M1_PR_MR_312,VIA_L1M1_PR_MR,184.69,31.45
VIA_L1M1_PR_MR_313,VIA_L1M1_PR_MR,185.15,31.45
VIA_L1M1_PR_MR_314,VIA_L1M1_PR_MR,155.25,31.79
